,labels_flame_HDBSCAN_params1,labels_flame_HDBSCAN_params10,labels_flame_HDBSCAN_params11,labels_flame_HDBSCAN_params12,labels_flame_HDBSCAN_params13,labels_flame_HDBSCAN_params14,labels_flame_HDBSCAN_params15,labels_flame_HDBSCAN_params16,labels_flame_HDBSCAN_params17,labels_flame_HDBSCAN_params18,labels_flame_HDBSCAN_params19,labels_flame_HDBSCAN_params2,labels_flame_HDBSCAN_params20,labels_flame_HDBSCAN_params21,labels_flame_HDBSCAN_params22,labels_flame_HDBSCAN_params23,labels_flame_HDBSCAN_params24,labels_flame_HDBSCAN_params25,labels_flame_HDBSCAN_params26,labels_flame_HDBSCAN_params27,labels_flame_HDBSCAN_params28,labels_flame_HDBSCAN_params29,labels_flame_HDBSCAN_params3,labels_flame_HDBSCAN_params30,labels_flame_HDBSCAN_params31,labels_flame_HDBSCAN_params32,labels_flame_HDBSCAN_params33,labels_flame_HDBSCAN_params34,labels_flame_HDBSCAN_params35,labels_flame_HDBSCAN_params36,labels_flame_HDBSCAN_params37,labels_flame_HDBSCAN_params38,labels_flame_HDBSCAN_params39,labels_flame_HDBSCAN_params4,labels_flame_HDBSCAN_params40,labels_flame_HDBSCAN_params41,labels_flame_HDBSCAN_params42,labels_flame_HDBSCAN_params43,labels_flame_HDBSCAN_params44,labels_flame_HDBSCAN_params45,labels_flame_HDBSCAN_params46,labels_flame_HDBSCAN_params47,labels_flame_HDBSCAN_params48,labels_flame_HDBSCAN_params49,labels_flame_HDBSCAN_params5,labels_flame_HDBSCAN_params50,labels_flame_HDBSCAN_params51,labels_flame_HDBSCAN_params52,labels_flame_HDBSCAN_params53,labels_flame_HDBSCAN_params54,labels_flame_HDBSCAN_params55,labels_flame_HDBSCAN_params56,labels_flame_HDBSCAN_params57,labels_flame_HDBSCAN_params58,labels_flame_HDBSCAN_params59,labels_flame_HDBSCAN_params6,labels_flame_HDBSCAN_params60,labels_flame_HDBSCAN_params61,labels_flame_HDBSCAN_params62,labels_flame_HDBSCAN_params63,labels_flame_HDBSCAN_params7,labels_flame_HDBSCAN_params8,labels_flame_HDBSCAN_params9
B,2.3905420828085817,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.048037371415891,2.048037371415891,2.048037371415891,2.048037371415891,2.048037371415891,2.3905420828085817,2.048037371415891,2.048037371415891,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.522468087448371,2.3905420828085817,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.048037371415891,2.048037371415891,2.048037371415891,2.048037371415891,2.3905420828085817,2.048037371415891,2.048037371415891,2.048037371415891,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.3905420828085817,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.522468087448371,2.048037371415891,2.048037371415891,2.048037371415891,2.3905420828085817,2.048037371415891,2.048037371415891,2.048037371415891,2.048037371415891,2.3905420828085817,2.522468087448371,2.522468087448371
BH,14.375200672895778,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,7.525299200066566,7.525299200066566,7.525299200066566,7.525299200066566,7.525299200066566,14.375200672895778,7.525299200066566,7.525299200066566,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,15.08728708420926,14.375200672895778,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,7.525299200066566,7.525299200066566,7.525299200066566,7.525299200066566,14.375200672895778,7.525299200066566,7.525299200066566,7.525299200066566,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,14.375200672895778,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,15.08728708420926,7.525299200066566,7.525299200066566,7.525299200066566,14.375200672895778,7.525299200066566,7.525299200066566,7.525299200066566,7.525299200066566,14.375200672895778,15.08728708420926,15.08728708420926
D,0.02113656863346052,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.009767148712469462,0.02113656863346052,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.02113656863346052,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.009767148712469462,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.2016645680303497,0.02113656863346052,0.009767148712469462,0.009767148712469462
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.5159984867829944,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.4693583566773668,0.5159984867829944,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.5159984867829944,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.4693583566773668,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.46401738616702726,0.5159984867829944,0.4693583566773668,0.4693583566773668
I,0.3203457410114499,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.2850365320990628,0.3203457410114499,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.3203457410114499,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.2850365320990628,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.9113182364391567,0.3203457410114499,0.2850365320990628,0.2850365320990628
C,0.33812689147139185,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.32512951335520135,0.33812689147139185,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.33812689147139185,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.32512951335520135,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.3716818611019857,0.33812689147139185,0.32512951335520135,0.32512951335520135
CDbw,0.10837104966555638,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10707104789918472,0.10837104966555638,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10837104966555638,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.10707104789918472,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.13634507067579069,0.10837104966555638,0.10707104789918472,0.10707104789918472
VIASCKDE,0.16777320866356848,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.1991821989139853,0.16777320866356848,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.16777320866356848,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.1991821989139853,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.2003484646224076,0.16777320866356848,0.1991821989139853,0.1991821989139853
COP,0.2784185664335322,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2775666677854979,0.2784185664335322,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2784185664335322,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2775666677854979,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2709750671082549,0.2784185664335322,0.2775666677854979,0.2775666677854979
Sym,0.011774685677801102,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011149375720114452,0.011774685677801102,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011774685677801102,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.011149375720114452,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.017951801332824632,0.011774685677801102,0.011149375720114452,0.011149375720114452
CS,3.351663041027696,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,2.7690953286037567,2.7690953286037567,2.7690953286037567,2.7690953286037567,2.7690953286037567,3.351663041027696,2.7690953286037567,2.7690953286037567,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.388161658332097,3.351663041027696,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,2.7690953286037567,2.7690953286037567,2.7690953286037567,2.7690953286037567,3.351663041027696,2.7690953286037567,2.7690953286037567,2.7690953286037567,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.351663041027696,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,3.388161658332097,2.7690953286037567,2.7690953286037567,2.7690953286037567,3.351663041027696,2.7690953286037567,2.7690953286037567,2.7690953286037567,2.7690953286037567,3.351663041027696,3.388161658332097,3.388161658332097
SF,0.1970073532008253,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.224518261569975,0.224518261569975,0.224518261569975,0.224518261569975,0.224518261569975,0.1970073532008253,0.224518261569975,0.224518261569975,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.19382162837446137,0.1970073532008253,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.224518261569975,0.224518261569975,0.224518261569975,0.224518261569975,0.1970073532008253,0.224518261569975,0.224518261569975,0.224518261569975,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.1970073532008253,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.19382162837446137,0.224518261569975,0.224518261569975,0.224518261569975,0.1970073532008253,0.224518261569975,0.224518261569975,0.224518261569975,0.224518261569975,0.1970073532008253,0.19382162837446137,0.19382162837446137
SD,1221.7839162211114,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1043.89093209688,1043.89093209688,1043.89093209688,1043.89093209688,1043.89093209688,1221.7839162211114,1043.89093209688,1043.89093209688,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1254.2727185169024,1221.7839162211114,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1043.89093209688,1043.89093209688,1043.89093209688,1043.89093209688,1221.7839162211114,1043.89093209688,1043.89093209688,1043.89093209688,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1221.7839162211114,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1254.2727185169024,1043.89093209688,1043.89093209688,1043.89093209688,1221.7839162211114,1043.89093209688,1043.89093209688,1043.89093209688,1043.89093209688,1221.7839162211114,1254.2727185169024,1254.2727185169024
SDbw,1.7704690114318442,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7514152340879314,1.7704690114318442,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7704690114318442,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.7514152340879314,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.6737877144191946,1.7704690114318442,1.7514152340879314,1.7514152340879314
XB*,4.330583045017923,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,3.6621356808828023,3.6621356808828023,3.6621356808828023,3.6621356808828023,3.6621356808828023,4.330583045017923,3.6621356808828023,3.6621356808828023,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.526745184497541,4.330583045017923,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,3.6621356808828023,3.6621356808828023,3.6621356808828023,3.6621356808828023,4.330583045017923,3.6621356808828023,3.6621356808828023,3.6621356808828023,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.330583045017923,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,4.526745184497541,3.6621356808828023,3.6621356808828023,3.6621356808828023,4.330583045017923,3.6621356808828023,3.6621356808828023,3.6621356808828023,3.6621356808828023,4.330583045017923,4.526745184497541,4.526745184497541
S,0.15499667382053825,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.1696950790676888,0.15499667382053825,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.15499667382053825,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.1696950790676888,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.13939795831507595,0.15499667382053825,0.1696950790676888,0.1696950790676888
DB,3.016315841261811,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,2.388216550878324,2.388216550878324,2.388216550878324,2.388216550878324,2.388216550878324,3.016315841261811,2.388216550878324,2.388216550878324,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.001267842420493,3.016315841261811,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,2.388216550878324,2.388216550878324,2.388216550878324,2.388216550878324,3.016315841261811,2.388216550878324,2.388216550878324,2.388216550878324,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.016315841261811,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,3.001267842420493,2.388216550878324,2.388216550878324,2.388216550878324,3.016315841261811,2.388216550878324,2.388216550878324,2.388216550878324,2.388216550878324,3.016315841261811,3.001267842420493,3.001267842420493
CH,35.4211777976091,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,38.28479494042726,38.28479494042726,38.28479494042726,38.28479494042726,38.28479494042726,35.4211777976091,38.28479494042726,38.28479494042726,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.66457841389359,35.4211777976091,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,38.28479494042726,38.28479494042726,38.28479494042726,38.28479494042726,35.4211777976091,38.28479494042726,38.28479494042726,38.28479494042726,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.4211777976091,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,35.66457841389359,38.28479494042726,38.28479494042726,38.28479494042726,35.4211777976091,38.28479494042726,38.28479494042726,38.28479494042726,38.28479494042726,35.4211777976091,35.66457841389359,35.66457841389359
