,labels_zigzag_HDBSCAN_params1,labels_zigzag_HDBSCAN_params10,labels_zigzag_HDBSCAN_params11,labels_zigzag_HDBSCAN_params12,labels_zigzag_HDBSCAN_params13,labels_zigzag_HDBSCAN_params14,labels_zigzag_HDBSCAN_params15,labels_zigzag_HDBSCAN_params16,labels_zigzag_HDBSCAN_params17,labels_zigzag_HDBSCAN_params18,labels_zigzag_HDBSCAN_params19,labels_zigzag_HDBSCAN_params2,labels_zigzag_HDBSCAN_params20,labels_zigzag_HDBSCAN_params21,labels_zigzag_HDBSCAN_params22,labels_zigzag_HDBSCAN_params23,labels_zigzag_HDBSCAN_params24,labels_zigzag_HDBSCAN_params25,labels_zigzag_HDBSCAN_params26,labels_zigzag_HDBSCAN_params27,labels_zigzag_HDBSCAN_params28,labels_zigzag_HDBSCAN_params29,labels_zigzag_HDBSCAN_params3,labels_zigzag_HDBSCAN_params30,labels_zigzag_HDBSCAN_params31,labels_zigzag_HDBSCAN_params32,labels_zigzag_HDBSCAN_params33,labels_zigzag_HDBSCAN_params34,labels_zigzag_HDBSCAN_params35,labels_zigzag_HDBSCAN_params36,labels_zigzag_HDBSCAN_params37,labels_zigzag_HDBSCAN_params38,labels_zigzag_HDBSCAN_params39,labels_zigzag_HDBSCAN_params4,labels_zigzag_HDBSCAN_params40,labels_zigzag_HDBSCAN_params41,labels_zigzag_HDBSCAN_params42,labels_zigzag_HDBSCAN_params43,labels_zigzag_HDBSCAN_params44,labels_zigzag_HDBSCAN_params45,labels_zigzag_HDBSCAN_params46,labels_zigzag_HDBSCAN_params47,labels_zigzag_HDBSCAN_params48,labels_zigzag_HDBSCAN_params49,labels_zigzag_HDBSCAN_params5,labels_zigzag_HDBSCAN_params50,labels_zigzag_HDBSCAN_params51,labels_zigzag_HDBSCAN_params52,labels_zigzag_HDBSCAN_params53,labels_zigzag_HDBSCAN_params54,labels_zigzag_HDBSCAN_params55,labels_zigzag_HDBSCAN_params56,labels_zigzag_HDBSCAN_params57,labels_zigzag_HDBSCAN_params58,labels_zigzag_HDBSCAN_params59,labels_zigzag_HDBSCAN_params6,labels_zigzag_HDBSCAN_params60,labels_zigzag_HDBSCAN_params61,labels_zigzag_HDBSCAN_params62,labels_zigzag_HDBSCAN_params63,labels_zigzag_HDBSCAN_params7,labels_zigzag_HDBSCAN_params8,labels_zigzag_HDBSCAN_params9
cSIL,0.507431021068871,,,,,,,,,,,0.507431021068871,,,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.4876051130842482,,0.507431021068871,,,,,,,,,,,0.507431021068871,,,,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.507431021068871,0.4876051130842482,0.507431021068871,,,,,,,,,,,0.507431021068871,,,,,0.4876051130842482,,
GD43,0.45994169917790023,,,,,,,,,,,0.45994169917790023,,,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.6741104369307692,,0.45994169917790023,,,,,,,,,,,0.45994169917790023,,,,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.45994169917790023,0.6741104369307692,0.45994169917790023,,,,,,,,,,,0.45994169917790023,,,,,0.6741104369307692,,
GD53,0.0073093024844597485,,,,,,,,,,,0.0073093024844597485,,,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.4016236199670943,,0.0073093024844597485,,,,,,,,,,,0.0073093024844597485,,,,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.0073093024844597485,0.4016236199670943,0.0073093024844597485,,,,,,,,,,,0.0073093024844597485,,,,,0.4016236199670943,,
PS,0.9960088551715769,,,,,,,,,,,0.9960088551715769,,,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,1.2133687222225316,,0.9960088551715769,,,,,,,,,,,0.9960088551715769,,,,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,0.9960088551715769,1.2133687222225316,0.9960088551715769,,,,,,,,,,,0.9960088551715769,,,,,1.2133687222225316,,
rCIP,0.6267552536223866,,,,,,,,,,,0.6267552536223866,,,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.2720425040939461,,0.6267552536223866,,,,,,,,,,,0.6267552536223866,,,,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.6267552536223866,0.2720425040939461,0.6267552536223866,,,,,,,,,,,0.6267552536223866,,,,,0.2720425040939461,,
WB,8.580615865995775,,,,,,,,,,,8.580615865995775,,,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,10.380796521391025,,8.580615865995775,,,,,,,,,,,8.580615865995775,,,,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,8.580615865995775,10.380796521391025,8.580615865995775,,,,,,,,,,,8.580615865995775,,,,,10.380796521391025,,
XB,1.1484195012611005,,,,,,,,,,,1.1484195012611005,,,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,0.8304637217112822,,1.1484195012611005,,,,,,,,,,,1.1484195012611005,,,,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,1.1484195012611005,0.8304637217112822,1.1484195012611005,,,,,,,,,,,1.1484195012611005,,,,,0.8304637217112822,,
SSE,94.427924734477,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,259.5257912637083,201.46212189369555,201.46212189369555,201.46212189369555,201.46212189369555,201.46212189369555,94.427924734477,201.46212189369555,221.5968438794749,94.427924734477,94.427924734477,94.427924734477,94.427924734477,94.427924734477,94.427924734477,106.85521772564952,263.34072295678743,94.427924734477,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,259.5257912637083,201.46212189369555,201.46212189369555,201.46212189369555,201.46212189369555,94.427924734477,201.46212189369555,201.46212189369555,221.5968438794749,94.427924734477,94.427924734477,94.427924734477,94.427924734477,94.427924734477,94.427924734477,106.85521772564952,94.427924734477,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,263.34072295678743,259.5257912637083,201.46212189369555,201.46212189369555,201.46212189369555,94.427924734477,201.46212189369555,201.46212189369555,201.46212189369555,221.5968438794749,106.85521772564952,263.34072295678743,263.34072295678743
RS,-0.25874861073283417,,,,,,,,,,,-0.25874861073283417,,,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.06078534535739612,,-0.25874861073283417,,,,,,,,,,,-0.25874861073283417,,,,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.25874861073283417,-0.06078534535739612,-0.25874861073283417,,,,,,,,,,,-0.25874861073283417,,,,,-0.06078534535739612,,
DH,0.42970207688750695,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.6597963398751117,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.42970207688750695,0.34959947478197295,0.5971159035885628,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.5259662461817237,0.5676965676872658,0.42970207688750695,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.6597963398751117,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.42970207688750695,0.34959947478197295,0.34959947478197295,0.5971159035885628,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.42970207688750695,0.5259662461817237,0.42970207688750695,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.5676965676872658,0.6597963398751117,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.42970207688750695,0.34959947478197295,0.34959947478197295,0.34959947478197295,0.5971159035885628,0.5259662461817237,0.5676965676872658,0.5676965676872658
